Student ID,Name,Email,Stay Opportunity,Rank,Degree Programme (Home),Department (Home),Duration,Subunit
34521666,Determined Worm,d.worm@lancaster.ac.uk,Australian National University,2,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34126252,Horrible Bat,h.bat@lancaster.ac.uk,University of Toronto,1,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34409432,Hilarious Kangaroo,h.kangaroo@lancaster.ac.uk,VU Amsterdam,1,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34409432,Hilarious Kangaroo,h.kangaroo@lancaster.ac.uk,University of Toronto,2,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34409432,Hilarious Kangaroo,h.kangaroo@lancaster.ac.uk,Queensland University of Technology (QUT),3,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34171304,Odd Llama,o.llama@lancaster.ac.uk,University of Wisconsin Madison,1,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34171304,Odd Llama,o.llama@lancaster.ac.uk,University of Idaho,2,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34171304,Odd Llama,o.llama@lancaster.ac.uk,Carleton University,3,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34372687,Distinct Human,d.human@lancaster.ac.uk,University of Wisconsin Madison,1,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34372687,Distinct Human,d.human@lancaster.ac.uk,Carleton University,2,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34372687,Distinct Human,d.human@lancaster.ac.uk,University of Idaho,3,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34654453,Stormy Chimpanzee,s.chimpanzee@lancaster.ac.uk,Ewha Womans University - Summer Programme,1,BSc Hons : Psychology : Full Time,Department of Psychology,1,
34222049,Prickly Carabeef,p.carabeef@lancaster.ac.uk,University of New South Wales,1,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34222049,Prickly Carabeef,p.carabeef@lancaster.ac.uk,University of Idaho,2,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34222049,Prickly Carabeef,p.carabeef@lancaster.ac.uk,University of Wisconsin Madison,3,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34222049,Prickly Carabeef,p.carabeef@lancaster.ac.uk,Carleton University,4,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34215948,Motionless Pelican,m.pelican@lancaster.ac.uk,University of New South Wales,1,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34215948,Motionless Pelican,m.pelican@lancaster.ac.uk,University of Wisconsin Madison,2,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34215948,Motionless Pelican,m.pelican@lancaster.ac.uk,University of Padova - Psychology,3,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34215948,Motionless Pelican,m.pelican@lancaster.ac.uk,Carleton University,4,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34120548,Faithful Kangaroo,f.kangaroo@lancaster.ac.uk,University of Wisconsin Madison,1,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34120548,Faithful Kangaroo,f.kangaroo@lancaster.ac.uk,Carleton University,2,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34120548,Faithful Kangaroo,f.kangaroo@lancaster.ac.uk,University of Idaho,3,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34120548,Faithful Kangaroo,f.kangaroo@lancaster.ac.uk,University of New South Wales,4,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34120548,Faithful Kangaroo,f.kangaroo@lancaster.ac.uk,University of South Australia,5,BSc Hons : Psychology : Full Time,Department of Psychology,2,
34520651,Excited Rabbit,e.rabbit@lancaster.ac.uk,Wirtschafts Universitat Wien - LUMS,1,BA Hons : Advertising and Marketing : Full Time,Department of Marketing,2,
34520651,Excited Rabbit,e.rabbit@lancaster.ac.uk,University of New South Wales,2,BA Hons : Advertising and Marketing : Full Time,Department of Marketing,2,
34520651,Excited Rabbit,e.rabbit@lancaster.ac.uk,City University of Hong Kong,3,BA Hons : Advertising and Marketing : Full Time,Department of Marketing,2,
34520651,Excited Rabbit,e.rabbit@lancaster.ac.uk,University of Nebraska-Lincoln,4,BA Hons : Advertising and Marketing : Full Time,Department of Marketing,2,
34331298,Cooperative Pheasant,c.pheasant@lancaster.ac.uk,Ewha Womans University - Summer Programme,1,BSc Hons : Marketing : Full Time,Department of Marketing,1,
34616322,Alert Woodcock,a.woodcock@lancaster.ac.uk,Ewha Womans University - Summer Programme,1,BSc Hons : Marketing and Design : Full Time,Department of Marketing,1,
34578455,Victorious Deer,v.deer@lancaster.ac.uk,Wirtschafts Universitat Wien - LUMS,1,BSc Hons : Marketing Management : Full Time,Department of Marketing,2,
34578455,Victorious Deer,v.deer@lancaster.ac.uk,University of New South Wales,2,BSc Hons : Marketing Management : Full Time,Department of Marketing,2,
34578455,Victorious Deer,v.deer@lancaster.ac.uk,City University of Hong Kong,3,BSc Hons : Marketing Management : Full Time,Department of Marketing,2,
34488103,Smoggy Flamingo,s.flamingo@lancaster.ac.uk,Wirtschafts Universitat Wien - LUMS,1,BSc Hons : Marketing Management (Study Abroad) : Full Time,Department of Marketing,2,
34488103,Smoggy Flamingo,s.flamingo@lancaster.ac.uk,University of New South Wales,2,BSc Hons : Marketing Management (Study Abroad) : Full Time,Department of Marketing,2,
34488103,Smoggy Flamingo,s.flamingo@lancaster.ac.uk,City University of Hong Kong,3,BSc Hons : Marketing Management (Study Abroad) : Full Time,Department of Marketing,2,
34488103,Smoggy Flamingo,s.flamingo@lancaster.ac.uk,University of South Australia,4,BSc Hons : Marketing Management (Study Abroad) : Full Time,Department of Marketing,2,
34488103,Smoggy Flamingo,s.flamingo@lancaster.ac.uk,University of Nebraska-Lincoln,5,BSc Hons : Marketing Management (Study Abroad) : Full Time,Department of Marketing,2,
34482717,Smoggy Fly,s.fly@lancaster.ac.uk,University of Nebraska-Lincoln,1,BSc Hons : Marketing Management (Study Abroad) : Full Time,Department of Marketing,2,
34482717,Smoggy Fly,s.fly@lancaster.ac.uk,University of South Australia,2,BSc Hons : Marketing Management (Study Abroad) : Full Time,Department of Marketing,2,
34482717,Smoggy Fly,s.fly@lancaster.ac.uk,University of New South Wales,3,BSc Hons : Marketing Management (Study Abroad) : Full Time,Department of Marketing,2,
